customer_id,vintage_month,credit_score_band,credit_score,income_band,region,loan_purpose,origination_balance
100001,2024-09-01,Subprime,654,Low,South,General_Spend,637.38
100002,2024-09-01,Prime,827,High,Midwest,Travel,5820.48
100003,2024-09-01,Near_Prime,701,Medium,South,General_Spend,3035.17
100004,2024-09-01,Subprime,641,Low,South,Card_Refinance,2558.41
100005,2024-09-01,Near_Prime,668,Medium,Northeast,Card_Refinance,2708.28
100006,2024-09-01,Prime,847,Medium,South,Travel,5534.06
100007,2024-09-01,Prime,769,Low,West,Travel,10797.78
100008,2024-09-01,Prime,741,High,South,General_Spend,8431.62
100009,2024-09-01,Prime,833,Low,South,Retail_Purchase,5432.81
100010,2024-09-01,Subprime,592,Low,West,Cash_Advance,2677.24
100011,2024-09-01,Prime,794,Medium,Northeast,Retail_Purchase,12955.25
100012,2024-09-01,Prime,845,Medium,Northeast,Cash_Advance,9687.43
100013,2024-09-01,Subprime,615,Medium,South,Retail_Purchase,1786.25
100014,2024-09-01,Near_Prime,718,Medium,Midwest,Retail_Purchase,10187.18
100015,2024-09-01,Near_Prime,678,High,West,Retail_Purchase,3943.08
100016,2024-09-01,Near_Prime,682,Low,Northeast,Card_Refinance,6622.47
100017,2024-09-01,Prime,845,Low,Midwest,Retail_Purchase,4222.43
100018,2024-09-01,Subprime,641,High,Midwest,Travel,3304.22
100019,2024-09-01,Subprime,609,Low,West,Cash_Advance,4773.41
100020,2024-09-01,Near_Prime,710,High,Northeast,Travel,13071.6
100021,2024-09-01,Near_Prime,666,Low,West,Card_Refinance,7206.37
100022,2024-09-01,Subprime,634,Low,West,Retail_Purchase,4130.34
100023,2024-09-01,Near_Prime,704,Low,Midwest,Retail_Purchase,3186.9
100024,2024-09-01,Prime,828,High,West,Travel,9978.97
100025,2024-09-01,Near_Prime,703,Medium,South,Travel,2588.9
100026,2024-09-01,Prime,756,Medium,Northeast,Retail_Purchase,13855.96
100027,2024-09-01,Near_Prime,700,Low,Northeast,Retail_Purchase,4664.53
100028,2024-09-01,Prime,817,Medium,South,General_Spend,1270.98
100029,2024-09-01,Prime,764,Medium,Northeast,General_Spend,4422.3
100030,2024-09-01,Subprime,608,Medium,Midwest,Retail_Purchase,3283.68
100031,2024-09-01,Subprime,588,Low,South,Card_Refinance,5902.94
100032,2024-09-01,Near_Prime,709,Low,West,Card_Refinance,10624.47
100033,2024-09-01,Near_Prime,710,High,South,Travel,7376.72
100034,2024-09-01,Near_Prime,718,Medium,West,Cash_Advance,4335.39
100035,2024-09-01,Prime,804,Medium,Northeast,Retail_Purchase,5593.08
100036,2024-09-01,Prime,754,Medium,Midwest,Card_Refinance,19041.65
100037,2024-09-01,Prime,839,High,South,Card_Refinance,14036.87
100038,2024-09-01,Subprime,615,High,Midwest,General_Spend,2129.29
100039,2024-09-01,Prime,742,Medium,West,General_Spend,3987.36
100040,2024-09-01,Subprime,651,Medium,South,Retail_Purchase,2210.51
100041,2024-09-01,Near_Prime,694,High,Northeast,Travel,6603.92
100042,2024-09-01,Subprime,588,Low,South,Card_Refinance,2082.7
100043,2024-09-01,Near_Prime,711,Medium,Midwest,General_Spend,4405.21
100044,2024-09-01,Subprime,658,Medium,Midwest,Card_Refinance,2881.18
100045,2024-09-01,Prime,736,Medium,South,Travel,13798.28
100046,2024-09-01,Prime,841,High,South,Travel,9584.31
100047,2024-09-01,Near_Prime,676,Low,South,Cash_Advance,6249.74
100048,2024-09-01,Prime,837,High,South,Card_Refinance,3958.39
100049,2024-09-01,Subprime,652,Medium,South,Cash_Advance,8148.97
100050,2024-09-01,Near_Prime,683,Medium,South,Cash_Advance,4405.84
100051,2024-09-01,Near_Prime,700,Low,Midwest,General_Spend,6097.13
100052,2024-09-01,Prime,821,Medium,Midwest,Cash_Advance,10066.09
100053,2024-09-01,Near_Prime,717,High,South,Retail_Purchase,3187.59
100054,2024-09-01,Near_Prime,686,High,Northeast,Travel,1687.23
100055,2024-09-01,Prime,787,Low,South,Card_Refinance,2845.23
100056,2024-09-01,Near_Prime,680,Low,West,General_Spend,2841.76
100057,2024-09-01,Prime,781,Low,Midwest,General_Spend,9225.51
100058,2024-09-01,Near_Prime,662,Low,Northeast,Cash_Advance,3572.75
100059,2024-09-01,Prime,835,Medium,South,Retail_Purchase,9904.9
100060,2024-09-01,Near_Prime,670,High,Northeast,Retail_Purchase,7671.24
100061,2024-09-01,Near_Prime,718,Low,Midwest,Travel,3469.64
100062,2024-09-01,Near_Prime,694,Low,South,Travel,15615.04
100063,2024-09-01,Subprime,658,Medium,Midwest,Card_Refinance,4858.08
100064,2024-09-01,Subprime,596,Low,Midwest,Travel,3931.97
100065,2024-09-01,Subprime,650,Medium,Northeast,Travel,3421.43
100066,2024-09-01,Subprime,626,Low,Northeast,Travel,2679.88
100067,2024-09-01,Subprime,650,Low,Midwest,Travel,3491.91
100068,2024-09-01,Near_Prime,696,High,South,Travel,15052.87
100069,2024-09-01,Prime,823,Medium,Midwest,Cash_Advance,3007.73
100070,2024-09-01,Near_Prime,660,Medium,South,Retail_Purchase,5380.08
100071,2024-09-01,Near_Prime,715,Low,West,General_Spend,2785.07
100072,2024-09-01,Near_Prime,695,High,South,Travel,5176.15
100073,2024-09-01,Near_Prime,696,Medium,West,Card_Refinance,6936.76
100074,2024-09-01,Prime,721,Medium,South,Travel,13604.02
100075,2024-09-01,Subprime,652,Medium,Midwest,General_Spend,1247.99
100076,2024-09-01,Near_Prime,699,Medium,South,General_Spend,9595.86
100077,2024-09-01,Near_Prime,702,Low,South,General_Spend,7188.23
100078,2024-09-01,Prime,823,Medium,Midwest,General_Spend,8492.13
100079,2024-09-01,Subprime,644,Medium,South,General_Spend,5772.01
