credit_score_band,prior_bucket,current_bucket,n_transitions,n_prior_total,roll_rate_pct
Near_Prime,Charged_Off,Charged_Off,3979,3979,100.0
Near_Prime,Current,Current,65871,69662,94.558
Near_Prime,Current,DPD_30,2757,69662,3.958
Near_Prime,Current,Paid_Off,1034,69662,1.484
Near_Prime,DPD_30,Current,1544,3418,45.173
Near_Prime,DPD_30,DPD_30,828,3418,24.225
Near_Prime,DPD_30,DPD_60,1046,3418,30.603
Near_Prime,DPD_60,DPD_30,139,1230,11.301
Near_Prime,DPD_60,DPD_60,258,1230,20.976
Near_Prime,DPD_60,DPD_90_PLUS,833,1230,67.724
Near_Prime,DPD_90_PLUS,Charged_Off,684,1123,60.908
Near_Prime,DPD_90_PLUS,DPD_60,48,1123,4.274
Near_Prime,DPD_90_PLUS,DPD_90_PLUS,391,1123,34.817
Near_Prime,Paid_Off,Paid_Off,8022,8022,100.0
Prime,Charged_Off,Charged_Off,1730,1730,100.0
Prime,Current,Current,84016,87005,96.565
Prime,Current,DPD_30,1720,87005,1.977
Prime,Current,Paid_Off,1269,87005,1.459
Prime,DPD_30,Current,1105,2019,54.73
Prime,DPD_30,DPD_30,393,2019,19.465
Prime,DPD_30,DPD_60,521,2019,25.805
Prime,DPD_60,DPD_30,97,614,15.798
Prime,DPD_60,DPD_60,114,614,18.567
Prime,DPD_60,DPD_90_PLUS,403,614,65.635
Prime,DPD_90_PLUS,Charged_Off,316,512,61.719
Prime,DPD_90_PLUS,DPD_60,21,512,4.102
Prime,DPD_90_PLUS,DPD_90_PLUS,175,512,34.18
Prime,Paid_Off,Paid_Off,9199,9199,100.0
Subprime,Charged_Off,Charged_Off,5832,5832,100.0
Subprime,Current,Current,38952,42835,90.935
Subprime,Current,DPD_30,3187,42835,7.44
Subprime,Current,Paid_Off,696,42835,1.625
Subprime,DPD_30,Current,1537,4323,35.554
Subprime,DPD_30,DPD_30,1306,4323,30.211
Subprime,DPD_30,DPD_60,1480,4323,34.235
Subprime,DPD_60,DPD_30,188,1872,10.043
Subprime,DPD_60,DPD_60,485,1872,25.908
Subprime,DPD_60,DPD_90_PLUS,1199,1872,64.049
Subprime,DPD_90_PLUS,Charged_Off,976,1648,59.223
Subprime,DPD_90_PLUS,DPD_60,60,1648,3.641
Subprime,DPD_90_PLUS,DPD_90_PLUS,612,1648,37.136
Subprime,Paid_Off,Paid_Off,5484,5484,100.0
