snapshot_month,credit_score_band,income_band,region,n_accounts,n_delinquent_30plus,n_delinquent_90plus,n_charged_off,delinquency_30plus_rate_pct,delinquency_90plus_rate_pct,charge_off_rate_pct,total_balance
2024-09-01,Near_Prime,High,Midwest,16,0,0,0,0.0,0.0,0.0,88695.36
2024-09-01,Near_Prime,High,Northeast,15,0,0,0,0.0,0.0,0.0,92751.64
2024-09-01,Near_Prime,High,South,19,0,0,0,0.0,0.0,0.0,102415.08
2024-09-01,Near_Prime,High,West,18,0,0,0,0.0,0.0,0.0,97295.9
2024-09-01,Near_Prime,Low,Midwest,17,0,0,0,0.0,0.0,0.0,77112.66
2024-09-01,Near_Prime,Low,Northeast,19,0,0,0,0.0,0.0,0.0,133974.7
2024-09-01,Near_Prime,Low,South,30,0,0,0,0.0,0.0,0.0,189918.26
2024-09-01,Near_Prime,Low,West,22,0,0,0,0.0,0.0,0.0,143730.26
2024-09-01,Near_Prime,Medium,Midwest,27,0,0,0,0.0,0.0,0.0,199224.53
2024-09-01,Near_Prime,Medium,Northeast,34,0,0,0,0.0,0.0,0.0,170930.48
2024-09-01,Near_Prime,Medium,South,37,0,0,0,0.0,0.0,0.0,197889.25
2024-09-01,Near_Prime,Medium,West,35,0,0,0,0.0,0.0,0.0,198780.13
2024-09-01,Prime,High,Midwest,19,0,0,0,0.0,0.0,0.0,154469.18
2024-09-01,Prime,High,Northeast,12,0,0,0,0.0,0.0,0.0,102670.09
2024-09-01,Prime,High,South,25,0,0,0,0.0,0.0,0.0,184767.75
2024-09-01,Prime,High,West,10,0,0,0,0.0,0.0,0.0,94046.56
2024-09-01,Prime,Low,Midwest,29,0,0,0,0.0,0.0,0.0,263052.04
2024-09-01,Prime,Low,Northeast,17,0,0,0,0.0,0.0,0.0,124423.45
2024-09-01,Prime,Low,South,30,0,0,0,0.0,0.0,0.0,258483.7
2024-09-01,Prime,Low,West,18,0,0,0,0.0,0.0,0.0,179301.38
2024-09-01,Prime,Medium,Midwest,39,0,0,0,0.0,0.0,0.0,349367.13
2024-09-01,Prime,Medium,Northeast,42,0,0,0,0.0,0.0,0.0,403218.56
2024-09-01,Prime,Medium,South,49,0,0,0,0.0,0.0,0.0,410648.6
2024-09-01,Prime,Medium,West,29,0,0,0,0.0,0.0,0.0,236418.57
2024-09-01,Subprime,High,Midwest,16,0,0,0,0.0,0.0,0.0,43366.89
2024-09-01,Subprime,High,Northeast,7,0,0,0,0.0,0.0,0.0,20167.42
2024-09-01,Subprime,High,South,16,0,0,0,0.0,0.0,0.0,58678.16
2024-09-01,Subprime,High,West,10,0,0,0,0.0,0.0,0.0,30558.82
2024-09-01,Subprime,Low,Midwest,15,0,0,0,0.0,0.0,0.0,45336.86
2024-09-01,Subprime,Low,Northeast,13,0,0,0,0.0,0.0,0.0,39516.82
2024-09-01,Subprime,Low,South,25,0,0,0,0.0,0.0,0.0,70183.73
2024-09-01,Subprime,Low,West,17,0,0,0,0.0,0.0,0.0,52255.04
2024-09-01,Subprime,Medium,Midwest,17,0,0,0,0.0,0.0,0.0,58636.88
2024-09-01,Subprime,Medium,Northeast,14,0,0,0,0.0,0.0,0.0,53872.67
2024-09-01,Subprime,Medium,South,23,0,0,0,0.0,0.0,0.0,89468.92
2024-09-01,Subprime,Medium,West,21,0,0,0,0.0,0.0,0.0,67351.14
2024-10-01,Near_Prime,High,Midwest,36,0,0,0,0.0,0.0,0.0,212079.61
2024-10-01,Near_Prime,High,Northeast,28,2,0,0,7.143,0.0,0.0,164350.47
2024-10-01,Near_Prime,High,South,51,2,0,0,3.922,0.0,0.0,276091.12
2024-10-01,Near_Prime,High,West,36,1,0,0,2.778,0.0,0.0,188658.72
2024-10-01,Near_Prime,Low,Midwest,44,1,0,0,2.273,0.0,0.0,269394.32
2024-10-01,Near_Prime,Low,Northeast,48,0,0,0,0.0,0.0,0.0,282297.62
2024-10-01,Near_Prime,Low,South,70,0,0,0,0.0,0.0,0.0,433872.23
2024-10-01,Near_Prime,Low,West,50,0,0,0,0.0,0.0,0.0,291393.88
2024-10-01,Near_Prime,Medium,Midwest,77,0,0,0,0.0,0.0,0.0,495796.11
2024-10-01,Near_Prime,Medium,Northeast,69,0,0,0,0.0,0.0,0.0,359029.48
2024-10-01,Near_Prime,Medium,South,85,4,0,0,4.706,0.0,0.0,442381.68
2024-10-01,Near_Prime,Medium,West,69,1,0,0,1.449,0.0,0.0,397896.13
2024-10-01,Prime,High,Midwest,48,0,0,0,0.0,0.0,0.0,396816.0
2024-10-01,Prime,High,Northeast,35,0,0,0,0.0,0.0,0.0,334577.07
2024-10-01,Prime,High,South,55,0,0,0,0.0,0.0,0.0,430094.57
2024-10-01,Prime,High,West,44,0,0,0,0.0,0.0,0.0,308091.9
2024-10-01,Prime,Low,Midwest,61,0,0,0,0.0,0.0,0.0,500892.6
2024-10-01,Prime,Low,Northeast,43,0,0,0,0.0,0.0,0.0,360746.01
2024-10-01,Prime,Low,South,79,0,0,0,0.0,0.0,0.0,728229.18
2024-10-01,Prime,Low,West,52,0,0,0,0.0,0.0,0.0,448267.06
2024-10-01,Prime,Medium,Midwest,90,0,0,0,0.0,0.0,0.0,782208.11
2024-10-01,Prime,Medium,Northeast,90,0,0,0,0.0,0.0,0.0,813593.71
2024-10-01,Prime,Medium,South,114,1,0,0,0.877,0.0,0.0,937632.64
2024-10-01,Prime,Medium,West,82,1,0,0,1.22,0.0,0.0,641123.45
2024-10-01,Subprime,High,Midwest,28,2,0,0,7.143,0.0,0.0,88911.28
2024-10-01,Subprime,High,Northeast,27,0,0,0,0.0,0.0,0.0,85069.15
2024-10-01,Subprime,High,South,37,2,0,0,5.405,0.0,0.0,119742.56
2024-10-01,Subprime,High,West,28,0,0,0,0.0,0.0,0.0,102149.91
2024-10-01,Subprime,Low,Midwest,32,1,0,0,3.125,0.0,0.0,114839.27
2024-10-01,Subprime,Low,Northeast,33,0,0,0,0.0,0.0,0.0,101957.13
2024-10-01,Subprime,Low,South,49,0,0,0,0.0,0.0,0.0,159870.7
2024-10-01,Subprime,Low,West,32,0,0,0,0.0,0.0,0.0,98202.64
2024-10-01,Subprime,Medium,Midwest,44,1,0,0,2.273,0.0,0.0,143754.73
2024-10-01,Subprime,Medium,Northeast,38,2,0,0,5.263,0.0,0.0,130463.46
2024-10-01,Subprime,Medium,South,66,2,0,0,3.03,0.0,0.0,216301.96
2024-10-01,Subprime,Medium,West,57,1,0,0,1.754,0.0,0.0,204779.8
2024-11-01,Near_Prime,High,Midwest,55,1,0,0,1.818,0.0,0.0,304206.8
2024-11-01,Near_Prime,High,Northeast,43,3,0,0,6.977,0.0,0.0,243109.64
2024-11-01,Near_Prime,High,South,87,4,0,0,4.598,0.0,0.0,458830.05
2024-11-01,Near_Prime,High,West,53,1,0,0,1.887,0.0,0.0,269245.27
2024-11-01,Near_Prime,Low,Midwest,73,1,0,0,1.37,0.0,0.0,407874.3
2024-11-01,Near_Prime,Low,Northeast,75,0,0,0,0.0,0.0,0.0,452431.09
2024-11-01,Near_Prime,Low,South,109,4,0,0,3.67,0.0,0.0,636878.95
2024-11-01,Near_Prime,Low,West,80,1,0,0,1.25,0.0,0.0,442015.31
2024-11-01,Near_Prime,Medium,Midwest,121,3,0,0,2.479,0.0,0.0,700296.26
2024-11-01,Near_Prime,Medium,Northeast,110,4,0,0,3.636,0.0,0.0,563461.73
2024-11-01,Near_Prime,Medium,South,141,5,0,0,3.546,0.0,0.0,733703.17
2024-11-01,Near_Prime,Medium,West,106,2,0,0,1.887,0.0,0.0,600045.15
2024-11-01,Prime,High,Midwest,72,2,0,0,2.778,0.0,0.0,600363.72
2024-11-01,Prime,High,Northeast,61,0,0,0,0.0,0.0,0.0,551269.9
2024-11-01,Prime,High,South,88,1,0,0,1.136,0.0,0.0,670111.44
2024-11-01,Prime,High,West,73,1,0,0,1.37,0.0,0.0,499834.04
