vintage_month,credit_score_band,months_on_book,dpd_bucket,n_accounts,total_balance,cohort_accounts,pct_of_cohort
2024-09-01,Near_Prime,1,Current,289,1692718.25,802,36.035
2024-09-01,Near_Prime,2,Current,276,1545865.17,802,34.414
2024-09-01,Near_Prime,2,DPD_30,11,62331.43,802,1.372
2024-09-01,Near_Prime,2,Paid_Off,2,0.0,802,0.249
2024-09-01,Near_Prime,3,Current,264,1396408.28,802,32.918
2024-09-01,Near_Prime,3,DPD_30,15,95282.45,802,1.87
2024-09-01,Near_Prime,3,DPD_60,4,17902.24,802,0.499
2024-09-01,Near_Prime,3,Paid_Off,6,0.0,802,0.748
2024-09-01,Near_Prime,4,Current,251,1283203.37,802,31.297
2024-09-01,Near_Prime,4,DPD_30,18,98163.14,802,2.244
2024-09-01,Near_Prime,4,DPD_60,4,26211.48,802,0.499
2024-09-01,Near_Prime,4,DPD_90_PLUS,3,12234.89,802,0.374
2024-09-01,Near_Prime,4,Paid_Off,13,0.0,802,1.621
2024-09-01,Near_Prime,5,Charged_Off,2,8579.48,802,0.249
2024-09-01,Near_Prime,5,Current,248,1212230.6,802,30.923
2024-09-01,Near_Prime,5,DPD_30,15,75705.75,802,1.87
2024-09-01,Near_Prime,5,DPD_60,6,32592.27,802,0.748
2024-09-01,Near_Prime,5,DPD_90_PLUS,3,21699.16,802,0.374
2024-09-01,Near_Prime,5,Paid_Off,15,0.0,802,1.87
2024-09-01,Near_Prime,6,Charged_Off,4,17572.6,802,0.499
2024-09-01,Near_Prime,6,Current,238,1110561.21,802,29.676
2024-09-01,Near_Prime,6,DPD_30,17,78640.73,802,2.12
2024-09-01,Near_Prime,6,DPD_60,7,39629.0,802,0.873
2024-09-01,Near_Prime,6,DPD_90_PLUS,6,38779.88,802,0.748
2024-09-01,Near_Prime,6,Paid_Off,17,0.0,802,2.12
2024-09-01,Near_Prime,7,Charged_Off,7,32902.409999999996,802,0.873
2024-09-01,Near_Prime,7,Current,241,1063317.93,802,30.05
2024-09-01,Near_Prime,7,DPD_30,10,58099.51,802,1.247
2024-09-01,Near_Prime,7,DPD_60,5,21175.26,802,0.623
2024-09-01,Near_Prime,7,DPD_90_PLUS,9,54011.16,802,1.122
2024-09-01,Near_Prime,7,Paid_Off,17,0.0,802,2.12
2024-09-01,Near_Prime,8,Charged_Off,16,86913.56999999999,802,1.995
2024-09-01,Near_Prime,8,Current,225,928514.41,802,28.055
2024-09-01,Near_Prime,8,DPD_30,24,130511.45999999999,802,2.993
2024-09-01,Near_Prime,8,DPD_60,3,13113.75,802,0.374
2024-09-01,Near_Prime,8,DPD_90_PLUS,2,6712.5599999999995,802,0.249
2024-09-01,Near_Prime,8,Paid_Off,19,0.0,802,2.369
2024-09-01,Near_Prime,9,Charged_Off,17,88767.73,802,2.12
2024-09-01,Near_Prime,9,Current,221,875622.67,802,27.556
2024-09-01,Near_Prime,9,DPD_30,18,90777.15,802,2.244
2024-09-01,Near_Prime,9,DPD_60,7,40105.61,802,0.873
2024-09-01,Near_Prime,9,DPD_90_PLUS,2,6213.42,802,0.249
2024-09-01,Near_Prime,9,Paid_Off,24,0.0,802,2.993
2024-09-01,Near_Prime,10,Charged_Off,18,93467.06,802,2.244
2024-09-01,Near_Prime,10,Current,213,807862.82,802,26.559
